Concept,Poem
Solid sodium metal reacts with chlorine gas to product solid sodium chloride.,"Solid sodium, pure and bright,Meets chlorine is deadly might.In fierce embrace they cling,As chemistry is magic brings,Solid sodium chloride to light."
Zinc reacts with hydrochloric acid to produce aqueous zinc chloride and hydrogen,"Zinc meets hydrochloric acid, a chemical dance,A reaction that brings forth aqueous zinc chloride and chance.The zinc, so bright and bold, now yields to the acid is might,As hydrogen gas is formed, a wondrous sight."
The products of the combustion of hydrocarbons are always carbon dioxide and water.,"In the fiery embrace of hydrocarbon is might, a chemical delight.The products of combustion, pure and true,Carbon dioxide and water, a bond anew."
Magnesium reacts with oxygen from the air to produce a fine powder of magnesium oxide.,"Magnesium, bright and bold,Reacts with oxygen, so cold,From the air it doth take its toll,And forms a fine powder, so whole.Magnesium oxide, pure and white,A product of their chemical might."
"An ester has a structure similar to that of a carboxylic acid, in which the hydrogen atom attached to oxygen has been replaced by an R group.","An ester, a molecule so fine,With a structure similar to a carboxylic acid divine.The hydrogen atom, once attached to oxygen sway,Is now replaced by an R group, in a new way."
"Mercuric oxide, a red solid, decomposes when heated to produce mercury and oxygen gas.","Mercuric oxide, a red solid hue,Decomposes with heat, a wondrous view.In flames it melts, a shimmering sight,Releasing mercury and oxygen bright."
When alkyl chloride is heated with a metallic fluoride then alkyl fluorides are formed.,"When alkyl chloride meets metallic fluoride,A transformation takes place, with pride.Alkyl fluorides are formed, with graceful ease,As heat and chemicals combine with great peace."
Ammonia molecule is trigonal pyramidal with nitrogen atom at the apex.,"In the realm of molecules, where atoms roam,A special shape, the ammonia molecule calls home.With nitrogen at the top, apex of the pyramid,Three bonds below, in a trigonal stride."
Halogens have the smallest atomic radii in their respective periods because of maximum effective nuclear charge.,"In the realm of atoms, where particles roam,Halogens stand apart, their radii the smallest home.In periods they advance, with electrons so bright,Their nuclear charge, maximum, keeps them in delight."
Macromolecules are the biomolecules that are formed by the polymerisation of a huge number of micromolecules possessing higher molecular weight.,"Macromolecules, oh so grand,Formed from micromolecules, hand in hand.Polymerization, a wondrous feat,Creates structures vast, so neat."
The amino acids in proteins are linked to one another through peptide bonds.,"In proteins web of life, the amino acids entwine.Through peptide bonds, they form a chain divine"
"Carbon, Hydrogen, Oxygen, Nitrogen, Phosphorus, Sulphur, Potassium, calcium and magnesium are macronutrients","In the world of nutrition, where health doth reign,Eight macronutrients hold sway, and doth sustain.Carbon, hydrogen, oxygen, nitrogen, phosphorus too,Sulphur, potassium, calcium, magnesium, all doth do."
"Manganese, copper, zinc, boron, nickel are micronutrients","Manganese, copper, zinc, boron, nickel too,Micronutrients vital for our bodies to do"
"Chlorophyll fails to absorb the energy in the absence of light; hence, it loses stability to give the leaf yellow colouration. This proves that carotenoids, which impart yellow colour, are more stable.","In the absence of light, chlorophyll fails,Its energy absorption, a fleeting tale.Yellow hues now take center stage,As carotenoids, their stability engage.A dance of pigments, a colorful sight,Chlorophyll loss, a carotenoid might."
Gastrulation is the process of highly coordinated cell and tissue movements whereby the cells of the blastula undergo dramatic rearrangement.,"Gastrulation call, a journey begins anew,A dance of cells, a tale of growth anew.With graceful movements, they twirl and spin,Their fates entwined, in a delicate kin."
"The primary components of the cell are – cell membrane, nucleus, and cytoplasm.","In the cell, three main parts do play,Membrane, nucleus, and cytoplasm, they sway."
Prokaryotic Cells are the cells that are found in the microscopic organisms like bacteria and archaea.,"In the realm of the tiny, where life begins anew,Prokaryotic cells, their might we must pursue.Microscopic marvels, they dance with grace,In bacteria and archaea, their home they embrace."
The evolution refers to the change and is the way in which living things change and develop over millions of years.,"Evolution is gentle touch, a slow embrace,Where life diversity finds its grace.From single-celled organisms to man,A journey through time, a wondrous plan."
The cells of the sporophytes undergo meiosis and give spores that are haploid.,"In the chambers deep, where light cannot reach,The cells of sporophytes, their fate to teach,They undergo meiosis, a process so grand,To give rise to spores, in this underground land.Haploid they are, with genetic code so pure,Their journey forth, a mystery to endure."
Fertilization is the fusion of the male gamete and female gamete to form a zygote in plants.,"Fertilization magic, pure and true,A union of gametes, a new life anew.The male and female, in perfect harmony,Unite to form a zygote, destiny."
The endosperm functions to provide nutrition in the form of starch and in some cases even proteins to the developing embryo.,"In the womb of the plant, a secret place,The endosperm provides sustenance with grace.A source of starch and proteins so bright,Nourishing the embryo with all its might."
"Essential vitamins include fat-soluble vitamins like A, D, E, and K and water-soluble vitamins like C and B-complex.","Fat-soluble vitamins, like A, D, E, and K,Are stored in our bodies, and cannot be replaced by any other.Water-soluble vitamins, like C and B-complex,Are vital for energy, and help us to be complex."
Digestion is the process of breakdown of complex compounds into readily absorbable smaller units.,"Digestion, a wondrous process divine,Breaking down complex foods, so fine and so fine."
